Otimizado; Não Otimizado
 197172.2506; 201759.3086
 103629.7200; 131150.9344
 86466.4144; 108189.4405
 71154.6321; 96760.0051
 48670.5501; 68471.7939
 42086.2195; 55863.9879
 31117.9671; 45579.6178
 24776.9276; 36837.8260
 24737.4672; 36864.3498
 21266.4821; 31706.1090
 17876.7161; 28193.3774
 15412.7588; 26129.2563
 14797.0456; 20980.3155
 11543.7090; 16602.8167
 11516.9533; 18051.0970
 8018.1105; 12866.5087
 7762.5768; 13436.4488
 7128.4912; 11111.7840
 6880.7592; 10933.9857
