Otimizado; Não Otimizado
 0.017334; 0.018555
 0.240723; 0.234863
 0.675537; 0.664795
 1.222168; 1.238525
 4.527100; 4.393311
 9.069092; 9.090576
 32.653809; 32.451660
 64.291260; 65.030029
 69.601562; 70.329102
 112.635010; 110.590088
 264.970947; 262.606934
 549.288818; 554.834229
 870.860352; 858.979980
 5563.306152; 5584.960693
 6233.141357; 6509.198486
 106918.813477; 106859.083008
 115775.703369; 122863.503174
 408546.796143; 414760.697754
 1117306.365723; 1137912.448242
