METODO; GRAD; HESS; SISTLIN
0.8730; 0; 0; 650.1726
31.3280; 0; 0; 3793.2655
122.6696; 0; 0; 5466.2627
254.7272; 0; 0; 6487.7333
872.6033; 0; 0; 6907.2223
1707.3627; 0; 0; 7472.2026
3808.8443; 0; 0; 7916.8725
4965.7260; 0; 0; 7894.7786
5060.0979; 0; 0; 7836.5720
5762.5428; 0; 0; 7872.5217
6727.8575; 0; 0; 7973.4264
7254.0850; 0; 0; 8046.9546
7513.4437; 0; 0; 8122.1060
5838.7999; 0; 0; 5992.2423
5599.7489; 0; 0; 5735.1016
2448.7750; 0; 0; 2459.6818
2427.7459; 0; 0; 2438.1711
2149.1681; 0; 0; 2154.5510
2040.8532; 0; 0; 2044.3430
