METODO; GRAD; HESS; SISTLIN
11.7979; 178.0242; 1137.8140; 1646.9450
104.5142; 80.2304; 2425.5657; 2484.3749
235.3939; 55.1458; 2970.7253; 2485.8493
360.7462; 44.5591; 3329.0401; 2542.2562
737.3767; 30.3779; 3854.6385; 2550.8521
983.0443; 23.4944; 4175.4900; 2499.1950
1397.5201; 15.4751; 4506.4000; 2304.3141
1554.6332; 12.6667; 4642.9400; 2220.5356
1570.6812; 12.2045; 4680.1138; 2216.7406
1647.4134; 10.4925; 4760.2777; 2163.8493
1738.5802; 7.8826; 4883.7653; 2091.1127
1777.2170; 6.2032; 4999.4450; 2042.1258
1792.4262; 5.2829; 5042.6186; 2019.7986
1751.8868; 3.1787; 4996.9943; 1903.8488
1752.0742; 3.0996; 4442.2311; 1902.6995
1748.0551; 1.5727; 5000.7570; 1873.3565
1746.7197; 1.5316; 5148.0962; 1871.8243
1745.2913; 1.0434; 5173.2131; 1865.7795
1745.4083; 0.7673; 5265.2597; 1863.4900
