METODO; GRAD; HESS; SISTLIN
2.1898; 1113.3298; 175.7566; 1258.2581
40.3803; 2418.3755; 79.6391; 4697.6710
142.5354; 2964.4150; 57.2892; 6245.9948
286.2032; 3339.3631; 45.8292; 7212.9095
937.7529; 3786.7919; 30.1746; 7390.7817
1804.8423; 4048.5107; 23.3993; 7877.5515
3944.1032; 4445.2005; 15.6460; 8188.9027
5104.8639; 4615.2245; 12.4803; 8110.2191
5198.9314; 4662.4987; 12.2697; 8046.1054
5896.6649; 4743.8714; 10.5620; 8051.7723
6844.3183; 4849.4728; 7.9402; 8109.1800
7351.6419; 4939.6961; 6.1970; 8153.7807
7599.4176; 4995.8504; 5.2830; 8214.0215
5878.6155; 4796.8194; 3.1578; 6032.8334
5637.0305; 4890.0642; 3.0871; 5773.0371
2457.0819; 4989.6668; 1.5688; 2467.9980
2435.7874; 5010.1792; 1.5332; 2446.2209
2154.0201; 4956.7573; 1.0426; 2159.4045
2044.2248; 5206.1071; 0.7665; 2047.7148
