METODO; GRAD; HESS; SISTLIN
0.2357; 0.2439; 0.2429; 0.2193
0.2437; 0.2533; 0.2424; 0.2563
0.2450; 0.2569; 0.2407; 0.2362
0.0929; 0.2581; 0.2480; 0.0367
0.0657; 0.2499; 0.2233; 0.0380
0.1386; 0.2648; 0.2371; 0.1249
0.3158; 0.2814; 0.2408; 0.3181
0.3594; 0.2749; 0.2573; 0.3643
0.3707; 0.2734; 0.2510; 0.3764
0.3798; 0.2682; 0.2705; 0.3859
0.3883; 0.2609; 0.2538; 0.3949
0.3886; 0.2569; 0.2579; 0.3954
0.3825; 0.2551; 0.2556; 0.3890
0.3521; 0.2500; 0.2624; 0.3568
0.3490; 0.2498; 0.2740; 0.3535
0.3081; 0.2497; 0.2734; 0.3104
0.3021; 0.2499; 0.2740; 0.3041
0.2485; 0.2496; 0.2078; 0.2485
0.2487; 0.2495; 0.1985; 0.2487
