METODO; GRAD; HESS; SISTLIN
264.0415; 114642.2187; 52970.9016; 35401.2058
292.4645; 84394.1992; 12320.6083; 6911.2447
351.9068; 70777.5220; 7588.8137; 3359.4823
403.8654; 63243.8989; 6394.2740; 2557.2250
537.2166; 56459.7288; 5099.4446; 1299.5927
758.3075; 48228.6972; 5100.5153; 1207.9014
17236.5572; 39133.4667; 5913.2477; 32887.9330
28371.0546; 30001.4208; 6150.3663; 42684.8825
31055.5319; 29836.5737; 6110.9339; 45831.6017
38409.5460; 26087.9545; 6497.3323; 50785.0980
48484.4061; 21211.2414; 6778.5184; 56349.3090
52646.6476; 18753.4892; 6964.1918; 57706.1771
54403.9078; 14741.5601; 7029.4403; 58283.1693
42875.2161; 11847.3622; 7067.5336; 43817.3771
41348.3911; 10314.7024; 7156.0350; 42181.7464
20504.4241; 8438.0589; 7065.9317; 20566.4396
20284.7610; 7813.5199; 7214.8887; 20342.6086
17909.1723; 7073.3436; 7130.9555; 17936.5418
16848.0065; 7198.7007; 7106.4101; 16864.7884
