Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.227051; 0.003906; 0.014404; 0.200684
1.542969; 0.009033; 0.147949; 1.372314
3.483154; 0.009033; 0.310791; 3.150391
5.684814; 0.014893; 0.501221; 5.152832
13.536133; 0.023438; 1.174072; 12.318604
22.320068; 0.025879; 1.866211; 20.407959
58.762695; 0.046143; 4.507568; 54.193115
94.751953; 0.051270; 6.897217; 87.771729
99.655029; 0.052734; 7.303467; 92.251709
139.594971; 0.061768; 9.944824; 129.552979
256.473633; 0.087891; 17.687012; 238.661865
429.300049; 0.108398; 28.844482; 400.287842
595.704102; 0.121826; 39.849854; 555.654541
1748.207764; 0.210693; 110.839111; 1637.024902
1836.126709; 0.217041; 116.328125; 1719.442383
7114.730957; 0.422119; 445.012451; 6669.018066
7470.437988; 0.432373; 467.220215; 7002.511230
16086.741699; 0.629395; 1003.200684; 15082.526855
30063.354004; 0.853760; 1873.172363; 28188.787842
