Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.043213; 0.003906; 0.014160; 0.017334
0.393799; 0.009033; 0.135742; 0.240723
1.067139; 0.012695; 0.365967; 0.675537
1.743896; 0.014893; 0.487793; 1.222168
5.735107; 0.024658; 1.162598; 4.527100
11.041016; 0.021973; 1.924805; 9.069092
37.209961; 0.045410; 4.489014; 32.653809
71.290039; 0.056641; 6.916016; 64.291260
76.976807; 0.052979; 7.294434; 69.601562
122.714844; 0.061279; 9.978271; 112.635010
282.810059; 0.089111; 17.709473; 264.970947
578.338867; 0.106445; 28.881836; 549.288818
910.835205; 0.132080; 39.774658; 870.860352
5674.653320; 0.221436; 110.959961; 5563.306152
6350.033691; 0.226562; 116.500000; 6233.141357
107364.806641; 0.424072; 445.260986; 106918.813477
116243.672119; 0.434326; 467.207031; 115775.703369
409548.070068; 0.626953; 1000.210205; 408546.796143
1119172.311768; 0.870361; 1864.433350; 1117306.365723
