METODO; GRAD; HESS; SISTLIN
3.3712; 0; 0; 473.6428
43.7038; 0; 0; 1054.9631
105.2490; 0; 0; 1128.1447
164.7056; 0; 0; 1146.5309
349.2775; 0; 0; 1211.5111
472.5580; 0; 0; 1198.1120
680.3225; 0; 0; 1121.7784
761.7640; 0; 0; 1089.8267
770.9327; 0; 0; 1087.7964
807.9997; 0; 0; 1062.1383
855.7659; 0; 0; 1029.0664
879.4594; 0; 0; 1012.1109
883.9587; 0; 0; 1001.5133
852.9651; 0; 0; 948.6310
830.4451; 0; 0; 920.3349
844.4458; 0; 0; 933.4859
829.4231; 0; 0; 913.9562
843.6699; 0; 0; 930.7994
839.6397; 0; 0; 926.0348
