METODO; GRAD; HESS; SISTLIN
0.8786; 0; 0; 709.6991
31.3778; 0; 0; 3872.4488
122.8658; 0; 0; 5587.6275
252.8887; 0; 0; 6643.9171
879.8452; 0; 0; 7260.8755
1709.9149; 0; 0; 7640.0228
3845.2377; 0; 0; 8082.7913
5030.0049; 0; 0; 8032.0567
5058.6117; 0; 0; 7822.0850
5840.8128; 0; 0; 8001.5630
6775.1918; 0; 0; 8034.5330
7256.9083; 0; 0; 8059.2764
7647.9719; 0; 0; 8307.9189
5591.4000; 0; 0; 5772.7643
4809.9047; 0; 0; 4939.5154
2502.8200; 0; 0; 2519.5221
2402.0231; 0; 0; 2416.9013
2135.1461; 0; 0; 2143.1188
1941.0906; 0; 0; 1945.8954
