METODO; GRAD; HESS; SISTLIN
11.8144; 217.5975; 729.4440; 1632.1744
103.6925; 92.5034; 1703.1496; 2487.3394
233.8868; 61.8467; 2273.8631; 2497.4616
357.9855; 52.7198; 2364.2709; 2484.3128
736.3945; 35.5603; 2941.5191; 2549.2899
984.7376; 28.1054; 3144.6121; 2492.8868
1396.7170; 18.2459; 3526.5012; 2300.8059
1555.5933; 14.6121; 3723.8664; 2223.8204
1573.6527; 14.3884; 3763.3872; 2218.7682
1644.3599; 12.3156; 3891.7908; 2160.1658
1733.9809; 9.2657; 4015.7531; 2084.1226
1776.9018; 7.2330; 4127.6856; 2044.1470
1783.3230; 6.1875; 4167.2218; 2019.8319
1714.8245; 3.6909; 4185.4975; 1906.7870
1669.3458; 3.5970; 4199.2259; 1849.6929
1693.2849; 1.8411; 4244.7684; 1871.6488
1663.0603; 1.8110; 4375.8195; 1832.3839
1690.2640; 1.2387; 4407.2028; 1864.7058
1681.4102; 0.8941; 4341.7501; 1854.3326
