METODO; GRAD; HESS; SISTLIN
2.0732; 677.2588; 201.7650; 1373.4579
39.9453; 1693.5987; 92.5149; 4795.7336
142.0101; 2209.2791; 65.1916; 6384.6716
283.1718; 2369.2713; 53.0019; 7386.5509
944.2288; 2909.2799; 34.4701; 7769.1933
1805.9412; 3174.4421; 26.6515; 8054.4756
3980.3272; 3424.5299; 17.8205; 8360.5226
5169.7304; 3594.9067; 14.6413; 8251.2433
5196.2342; 3661.0429; 14.4491; 8031.2311
5975.7861; 3793.4125; 12.2650; 8183.7517
6891.8324; 3952.2082; 9.2914; 8171.3269
7354.0857; 4076.6467; 7.2740; 8166.2660
7735.1650; 4113.4070; 6.1872; 8401.9373
5629.4444; 4082.3442; 3.6538; 5811.8686
4841.8587; 3794.5234; 3.6030; 4972.1884
2511.3008; 3977.4921; 1.8469; 2528.0405
2409.9708; 4224.0806; 1.8081; 2424.8809
2139.9629; 4232.8789; 1.2361; 2147.9465
1944.2957; 4342.7619; 0.9006; 1949.1049
