METODO; GRAD; HESS; SISTLIN
0.2428; 0.2426; 0.2399; 0.2381
0.2505; 0.2365; 0.2523; 0.2511
0.2400; 0.2518; 0.2591; 0.2120
0.2324; 0.2434; 0.2582; 0.1833
0.0667; 0.2541; 0.2823; 0.0191
0.0481; 0.2572; 0.2850; 0.0151
0.1638; 0.2686; 0.2884; 0.1562
0.2006; 0.2712; 0.2756; 0.1974
0.2186; 0.2844; 0.2750; 0.2160
0.2253; 0.2959; 0.2687; 0.2237
0.2415; 0.2875; 0.2608; 0.2407
0.2164; 0.2943; 0.2548; 0.2155
0.2471; 0.2772; 0.2507; 0.2466
0.2363; 0.2694; 0.2464; 0.2361
0.2142; 0.2719; 0.2475; 0.2138
0.1910; 0.2799; 0.2506; 0.1907
0.1810; 0.2805; 0.2515; 0.1808
0.1764; 0.2798; 0.2513; 0.1763
0.1671; 0.2991; 0.2514; 0.1669
