METODO; GRAD; HESS; SISTLIN
284.4372; 81946.3423; 201759.3086; 6084.2435
309.4379; 14072.1065; 131150.9344; 1222.7692
351.8389; 8609.0379; 108189.4405; 629.8620
430.7624; 7297.7690; 96760.0051; 563.7560
662.7383; 6607.9142; 68471.7939; 448.8231
890.2265; 6153.8140; 55863.9879; 578.1506
4998.1206; 6754.5367; 45579.6178; 6610.4410
7225.8294; 7241.5430; 36837.8260; 8818.6671
7492.1521; 7341.4081; 36864.3498; 9041.4483
7870.1836; 7648.3016; 31706.1090; 8907.6734
8210.6678; 8036.0053; 28193.3774; 8571.8530
8343.1335; 8214.2974; 26129.2563; 8343.8642
8450.8373; 8252.1925; 20980.3155; 8269.3083
10711.3261; 8347.8161; 16602.8167; 10506.1382
11128.2097; 8393.0235; 18051.0970; 10953.8461
14402.1531; 8362.6979; 12866.5087; 14500.4877
14375.6297; 8494.9272; 13436.4488; 14443.9868
14664.9645; 8526.0965; 11111.7840; 14736.3932
14673.2021; 8264.5111; 10933.9857; 14778.8828
