Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.223877; 0.002930; 0.011230; 0.201660
1.516113; 0.007080; 0.130615; 1.363281
3.493896; 0.008057; 0.276367; 3.165283
5.687256; 0.006104; 0.424561; 5.183594
13.555908; 0.014648; 0.988770; 12.401855
22.426025; 0.017822; 1.609375; 20.551025
58.755371; 0.025391; 3.861816; 54.124756
94.914062; 0.032959; 5.960693; 87.812744
99.953369; 0.029053; 6.233643; 92.583984
139.900635; 0.038086; 8.511963; 129.746338
256.189697; 0.049316; 15.105957; 238.267090
429.099121; 0.068359; 24.816406; 399.385498
597.514893; 0.078125; 33.906982; 555.851807
1785.244141; 0.129395; 95.170166; 1636.255127
1884.209717; 0.130615; 99.161133; 1727.266602
7326.025146; 0.254639; 379.795654; 6662.213135
7726.973877; 0.255859; 394.295410; 7029.023926
16617.131348; 0.370361; 852.505371; 15084.316162
31150.819580; 0.506836; 1604.389893; 28259.938232
