Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.047119; 0.001953; 0.016357; 0.018555
0.383057; 0.003906; 0.122070; 0.234863
0.986816; 0.005859; 0.267334; 0.664795
1.822998; 0.010742; 0.505371; 1.238525
5.570068; 0.013428; 1.011963; 4.393311
11.000977; 0.016846; 1.633301; 9.090576
37.068604; 0.025391; 3.849609; 32.451660
72.135986; 0.035889; 5.946533; 65.030029
77.695801; 0.034180; 6.234375; 70.329102
120.782227; 0.039551; 8.544678; 110.590088
280.553711; 0.050049; 15.067871; 262.606934
584.430664; 0.064453; 24.694824; 554.834229
901.404053; 0.070801; 33.973633; 858.979980
5736.934326; 0.130859; 95.327393; 5584.960693
6668.649170; 0.139648; 99.052002; 6509.198486
107526.675781; 0.256348; 380.602051; 106859.083008
123566.605225; 0.269775; 395.129639; 122863.503174
416285.156982; 0.382080; 853.054932; 414760.697754
1140761.808594; 0.513184; 1603.136719; 1137912.448242
