METODO; GRAD; HESS; SISTLIN
0.8750; 0; 0; 698.8622
31.0194; 0; 0; 3824.8647
121.8691; 0; 0; 5610.0762
252.9981; 0; 0; 6499.2026
869.6391; 0; 0; 6946.7031
1612.8907; 0; 0; 7507.4634
3913.1086; 0; 0; 8181.9760
4996.8363; 0; 0; 7930.0325
5084.6953; 0; 0; 7909.9338
5809.5738; 0; 0; 7937.1062
6751.7210; 0; 0; 7996.1769
7246.2062; 0; 0; 8026.9854
7530.3988; 0; 0; 8131.6340
5693.6026; 0; 0; 5836.3674
5565.8387; 0; 0; 5696.0821
2552.6430; 0; 0; 2564.1859
2538.5511; 0; 0; 2549.5291
2228.7609; 0; 0; 2234.3429
2075.8571; 0; 0; 2079.3412
