METODO; GRAD; HESS; SISTLIN
4.6569; 180.7725; 723.1991; 1532.8865
39.9667; 82.0056; 1638.7319; 2455.0746
93.1968; 57.8728; 2180.7017; 2491.8633
146.6084; 45.3370; 2487.2432; 2491.3005
321.5388; 31.1100; 3129.8887; 2543.7598
492.2270; 24.6771; 3459.3915; 2536.4891
837.2046; 16.0813; 4062.0690; 2306.7335
1021.8114; 12.7975; 4223.1645; 2223.2388
1044.1192; 12.6468; 4265.9124; 2209.7726
1166.6692; 10.7968; 4374.8804; 2160.0235
1351.4353; 8.0834; 4547.6793; 2089.7438
1457.7369; 6.3694; 4653.4746; 2043.7646
1509.3808; 5.4382; 4697.4036; 2020.2938
1557.1316; 3.2546; 4580.1158; 1921.0793
1555.9406; 3.1832; 4536.5585; 1914.3691
1579.4758; 1.6234; 4802.5574; 1878.7986
1581.6637; 1.6014; 4762.8972; 1876.2416
1583.3815; 1.0840; 4874.8197; 1869.3619
1581.5210; 0.7953; 4914.0815; 1861.0524
