METODO; GRAD; HESS; SISTLIN
0.2404; 0.2606; 0.2539; 0.2421
0.2403; 0.2538; 0.2458; 0.2378
0.2232; 0.2462; 0.2496; 0.1795
0.1477; 0.2458; 0.2599; 0.0721
0.1484; 0.2611; 0.2385; 0.1110
0.1475; 0.2684; 0.2633; 0.1119
0.3095; 0.2828; 0.2487; 0.3143
0.3647; 0.2758; 0.2474; 0.3777
0.3724; 0.2749; 0.2510; 0.3869
0.3768; 0.2688; 0.2405; 0.3924
0.3781; 0.2606; 0.2529; 0.3946
0.3780; 0.2565; 0.2557; 0.3950
0.3722; 0.2549; 0.2673; 0.3881
0.3428; 0.2497; 0.2448; 0.3544
0.3394; 0.2501; 0.2780; 0.3504
0.3053; 0.2497; 0.2784; 0.3110
0.3002; 0.2504; 0.2772; 0.3052
0.2486; 0.2500; 0.2794; 0.2485
0.2488; 0.2503; 0.3027; 0.2486
