METODO; GRAD; HESS; SISTLIN
230.3535; 141086.8655; 44648.8799; 32087.8234
230.0054; 112155.7745; 8894.3759; 5094.4649
291.3784; 95712.1678; 6113.2009; 2776.4695
329.3998; 85138.3410; 5265.0844; 2198.4035
516.0026; 91260.0667; 5081.1525; 1282.2226
4072.8942; 82328.2711; 5184.7833; 15391.1565
14716.8018; 60007.6159; 5629.4688; 27766.2983
29560.8197; 50464.8661; 6219.3201; 44569.4978
31772.9516; 50520.1122; 6269.5617; 46901.1693
38513.0952; 41141.4752; 6571.0573; 50801.7969
48387.3064; 36508.1819; 6884.0672; 56229.3073
52846.6581; 29000.8769; 7107.2856; 57853.0959
54406.1702; 26929.1003; 7209.0918; 58204.6165
42084.9992; 18168.1193; 7247.7564; 42963.2367
40675.4265; 16521.7917; 7329.5462; 41453.8450
20534.7729; 13972.6888; 7292.3711; 20594.3748
20333.4759; 15094.3434; 7437.0656; 20389.1281
18492.3987; 12282.1327; 7355.7097; 18520.7244
17092.3462; 12110.6549; 7323.1587; 17108.9317
