Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.098145; 0.000977; 0.003906; 0.088379
0.637939; 0.007568; 0.131836; 0.485840
1.486084; 0.005859; 0.302734; 1.163818
2.437988; 0.007324; 0.485840; 1.934570
5.760742; 0.009033; 1.130127; 4.597656
9.454834; 0.018799; 1.861328; 7.560059
24.575928; 0.032715; 4.395020; 20.131104
39.658936; 0.025879; 6.817871; 32.778809
41.367920; 0.027832; 7.099854; 34.210205
57.643066; 0.038574; 9.733643; 47.841797
105.842041; 0.046875; 17.455322; 88.300537
175.212891; 0.058105; 28.083984; 147.017090
243.185059; 0.066650; 38.573975; 204.481934
707.888428; 0.113770; 107.981445; 599.654541
742.934082; 0.115723; 113.371338; 629.307617
2888.960205; 0.214355; 432.305420; 2456.178467
3028.219238; 0.226807; 453.440186; 2574.279297
6530.675781; 0.331787; 972.879150; 5557.094727
12204.226807; 0.452148; 1814.358398; 10388.908203
