Otimizado; Não Otimizado
 141086.8655; 110298.9807
 112155.7745; 79005.4271
 95712.1678; 68614.6683
 85138.3410; 68046.8664
 91260.0667; 66450.6001
 82328.2711; 74693.6590
 60007.6159; 54365.2593
 50464.8661; 46575.5752
 50520.1122; 49125.3858
 41141.4752; 41967.4746
 36508.1819; 32734.9415
 29000.8769; 24289.6391
 26929.1003; 26287.8485
 18168.1193; 15760.4944
 16521.7917; 18039.1027
 13972.6888; 13529.7371
 15094.3434; 13341.9656
 12282.1327; 12077.3898
 12110.6549; 12230.4148
