Otimizado; Não Otimizado
 178444.3777; 121760.8690
 106309.1047; 99170.5643
 104736.6453; 84357.8456
 92833.0025; 69415.4182
 67686.6828; 54465.7179
 57570.1709; 51179.3428
 41331.8374; 38537.5696
 37120.3693; 38216.6392
 35453.4094; 33072.6347
 32204.6937; 23886.9517
 26094.9059; 26202.5070
 24161.8938; 22430.5523
 20273.2340; 20211.1391
 14922.1400; 16291.8375
 17566.4465; 17256.5460
 14339.3620; 13561.7956
 12865.3391; 13262.3894
 12182.5072; 12948.1682
 11290.9555; 12346.8311
