METODO; GRAD; HESS; SISTLIN
2.0494; 759.7817; 184.3465; 1352.4855
39.4398; 1679.7953; 81.9958; 4736.8043
140.7812; 2245.0895; 57.7479; 6410.3225
283.1976; 2662.7443; 46.6150; 7225.6608
933.1418; 3049.3689; 30.4890; 7433.0265
1703.3174; 3586.5822; 24.5824; 7914.7252
4050.4338; 2651.0192; 16.0843; 8463.1153
5135.5192; 4235.8866; 12.8921; 8146.4350
5222.9098; 4310.2685; 12.6016; 8121.4288
5943.7274; 4395.6360; 10.7248; 8117.8273
6867.8938; 4571.7155; 8.1246; 8132.3178
7343.1986; 4657.6257; 6.3500; 8133.5464
7616.2199; 4730.5675; 5.4575; 8223.6573
5732.3339; 4542.0255; 3.2202; 5875.9025
5602.8067; 4453.5914; 3.1787; 5733.7595
2561.2916; 4691.5787; 1.6156; 2572.8553
2546.9497; 4761.7498; 1.5970; 2557.9466
2233.7886; 4799.9902; 1.0824; 2239.3761
2079.2845; 4733.7087; 0.7951; 2082.7708
