METODO; GRAD; HESS; SISTLIN
0.2271; 0.2150; 0.2351; 0.2288
0.2360; 0.2236; 0.2462; 0.2416
0.2252; 0.2231; 0.2416; 0.1969
0.1801; 0.2330; 0.2293; 0.1071
0.0403; 0.2647; 0.2546; 0.0169
0.0327; 0.2737; 0.2630; 0.0167
0.1760; 0.2734; 0.2661; 0.1739
0.1996; 0.2806; 0.2628; 0.1987
0.2101; 0.2878; 0.2640; 0.2094
0.2256; 0.2952; 0.2603; 0.2252
0.2404; 0.2888; 0.2566; 0.2402
0.2485; 0.2880; 0.2539; 0.2485
0.2484; 0.3033; 0.2528; 0.2484
0.2515; 0.2576; 0.2482; 0.2515
0.2485; 0.2796; 0.2480; 0.2485
0.2106; 0.2738; 0.2494; 0.2105
0.2067; 0.2751; 0.2496; 0.2067
0.1883; 0.2818; 0.2500; 0.1883
0.1826; 0.3041; 0.2503; 0.1825
