METODO; GRAD; HESS; SISTLIN
0.8909; 0; 0; 683.5547
31.4747; 0; 0; 3675.7354
122.0342; 0; 0; 5342.1639
255.0493; 0; 0; 6336.4433
882.7240; 0; 0; 7238.4370
1736.4720; 0; 0; 7651.3285
3918.8327; 0; 0; 8419.6639
5023.7166; 0; 0; 7986.7446
5116.2636; 0; 0; 7935.0371
5842.6864; 0; 0; 8002.1754
6776.7538; 0; 0; 8032.0137
7231.0556; 0; 0; 8036.5228
7588.7992; 0; 0; 8234.5691
5319.7791; 0; 0; 5483.5922
5467.0573; 0; 0; 5637.2799
2511.4752; 0; 0; 2528.3391
2474.8632; 0; 0; 2490.4545
2201.6888; 0; 0; 2210.0379
2001.8908; 0; 0; 2006.9402
