METODO; GRAD; HESS; SISTLIN
223.4230; 110298.9807; 53552.4521; 32401.2391
251.4966; 79005.4271; 9748.7144; 5203.5468
340.0548; 68614.6683; 7635.3404; 2506.7888
446.9280; 68046.8664; 6724.5831; 2191.5214
794.3202; 66450.6001; 6841.5965; 1251.1997
1193.4460; 74693.6590; 6706.0679; 1109.7544
7461.9101; 54365.2593; 7010.1621; 12562.5253
27317.4806; 46575.5752; 7253.1561; 40343.3264
31005.8842; 49125.3858; 7325.3981; 44402.3468
39581.2070; 41967.4746; 7702.7856; 51456.2789
48916.6679; 32734.9415; 8062.7785; 56246.2603
51549.6967; 24289.6391; 8247.9594; 56012.2608
55385.2608; 26287.8485; 8279.9318; 59060.0516
43612.9570; 15760.4944; 8250.7189; 44651.6065
39968.9564; 18039.1027; 8294.0723; 40799.5910
21314.0702; 13529.7371; 8418.9473; 21365.2634
20190.9695; 13341.9656; 8460.2864; 20228.8547
18323.0011; 12077.3898; 8483.5385; 18339.5908
16576.8507; 12230.4148; 8380.2207; 16583.6288
