Otimizado; Não Otimizado
 0.020020; 0.022217
 0.235352; 0.243652
 0.654297; 0.714111
 1.224365; 1.204346
 4.528809; 4.564941
 9.008789; 9.250000
 33.344482; 33.064941
 64.367188; 64.739258
 68.564941; 71.837402
 111.931396; 111.010254
 264.295898; 262.392578
 551.347412; 555.515869
 881.653564; 859.404297
 5537.132324; 6049.061523
 6211.890625; 6666.740967
 103411.109131; 106431.601807
 112001.519287; 122211.669434
 400791.689941; 414667.306641
 1092608.437744; 1126354.226074
