METODO; GRAD; HESS; SISTLIN
237.8400; 59258.4629; 121760.8690; 4782.1530
278.8749; 11291.8723; 99170.5643; 1131.4739
339.7229; 7954.5034; 84357.8456; 677.8484
400.4207; 6443.0557; 69415.4182; 579.7430
635.3257; 6000.1938; 54465.7179; 432.1363
817.4587; 6188.6472; 51179.3428; 464.3307
4532.6664; 6545.7975; 38537.5696; 5867.3611
7480.6912; 7133.2235; 38216.6392; 9122.2709
7579.2188; 7315.6217; 33072.6347; 9125.6504
7884.4411; 7642.1102; 23886.9517; 8881.4730
8201.6869; 8009.0143; 26202.5070; 8543.5100
8359.9444; 8199.0317; 22430.5523; 8365.1549
8443.4467; 8291.1985; 20211.1391; 8271.2599
11366.4601; 8416.5180; 16291.8375; 11201.5985
11535.9810; 8413.2305; 17256.5460; 11384.0917
14513.2505; 8367.5675; 13561.7956; 14593.1180
14509.2494; 8498.0615; 13262.3894; 14560.9242
14669.4823; 8509.5256; 12948.1682; 14743.1667
14695.7092; 8262.1662; 12346.8311; 14781.9744
