METODO; GRAD; HESS; SISTLIN
207.3703; 102761.3812; 49238.1327; 29667.0285
228.4811; 72430.4267; 8739.7265; 4697.1771
301.3067; 62356.0224; 6583.0085; 2235.1601
388.8855; 60252.2994; 5731.2205; 1915.1382
670.2052; 58310.9671; 5587.8858; 1088.0010
963.4155; 62210.0722; 5303.1472; 916.0615
4605.6614; 47891.6749; 4972.5454; 7403.9295
18220.0967; 43554.8506; 4677.6376; 26771.1275
21052.6866; 45543.9437; 4689.1699; 30042.8509
27295.2478; 39628.9868; 4627.3206; 35433.1694
33944.8016; 30956.2976; 4502.4669; 39020.2050
34877.2389; 22655.9001; 4428.9229; 37887.8227
38285.6059; 24250.1699; 4392.0152; 40868.6244
28143.9031; 13608.1071; 4199.4864; 28866.1083
25050.0150; 15238.7279; 4215.8238; 25612.0273
11516.3245; 11401.7638; 4237.5849; 11547.0947
10687.1854; 11424.1775; 4256.9005; 10709.2753
9492.3453; 10137.4072; 4260.3011; 9501.7088
8410.6185; 10153.9362; 4208.7193; 8414.2287
