Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.228027; 0.000000; 0.017334; 0.204590
1.496826; 0.006836; 0.156738; 1.318604
3.644287; 0.008057; 0.360352; 3.233398
5.827881; 0.009033; 0.595947; 5.158691
13.925781; 0.009033; 1.387451; 12.403809
22.891846; 0.020996; 2.251221; 20.379395
60.398193; 0.019775; 5.424805; 54.218018
97.166748; 0.023926; 8.387451; 87.634766
101.979248; 0.032959; 8.786865; 92.117676
143.506836; 0.035889; 12.041992; 129.827148
262.478027; 0.048096; 21.305664; 238.343750
439.219238; 0.059326; 34.866699; 399.541504
611.638184; 0.071289; 47.987549; 555.572998
1828.263184; 0.123047; 134.064697; 1639.377686
1925.465088; 0.125488; 139.793457; 1728.881104
7477.334961; 0.224121; 535.032959; 6655.571777
7879.107666; 0.236328; 556.748535; 7019.020020
16937.032227; 0.335205; 1200.981445; 15062.644531
31743.465088; 0.464355; 2253.718994; 28225.094971
