METODO; GRAD; HESS; SISTLIN
1.2940; 0; 0; 442.9594
16.6833; 0; 0; 1040.8196
41.6978; 0; 0; 1125.4102
67.1398; 0; 0; 1149.6271
152.0612; 0; 0; 1208.8272
235.6729; 0; 0; 1219.0333
407.2014; 0; 0; 1124.6554
499.8022; 0; 0; 1089.5336
510.9377; 0; 0; 1083.3783
572.7232; 0; 0; 1062.0627
666.4902; 0; 0; 1031.8388
721.0876; 0; 0; 1011.9194
747.8134; 0; 0; 1001.7411
774.3058; 0; 0; 955.7411
773.8135; 0; 0; 952.5146
787.5762; 0; 0; 937.0518
788.7179; 0; 0; 935.8314
790.2459; 0; 0; 933.1236
789.7033; 0; 0; 929.3906
