METODO; GRAD; HESS; SISTLIN
231.0247; 55280.0091; 178444.3777; 12393.1695
241.7603; 10079.0632; 106309.1047; 2635.5832
292.5506; 7074.7530; 104736.6453; 1644.3616
331.2688; 5511.8914; 92833.0025; 1382.2527
458.7063; 4650.5566; 67686.6828; 1153.5491
1308.4619; 5045.0789; 57570.1709; 4093.7259
3204.4125; 5768.0208; 41331.8374; 6808.8823
4824.1209; 6269.2414; 37120.3693; 8509.7936
4807.4078; 6292.0449; 35453.4094; 8246.1468
5939.8868; 6627.1594; 32204.6937; 9137.5131
6703.3457; 6966.1242; 26094.9059; 8715.4404
7143.8666; 7171.0818; 24161.8938; 8454.4402
7343.0631; 7239.5298; 20273.2340; 8336.5388
9772.2867; 7392.9686; 14922.1400; 10667.0879
10103.9627; 7371.5133; 17566.4465; 11052.7153
13212.6903; 7322.6619; 14339.3620; 14414.7088
13242.6317; 7470.1169; 12865.3391; 14399.8244
13494.9015; 7365.9850; 12182.5072; 14642.0629
13655.7835; 7326.4503; 11290.9555; 14805.2259
