METODO; GRAD; HESS; SISTLIN
0.043945; 0.001221; 0.012695; 0.020020
0.386963; 0.005127; 0.133301; 0.235352
0.978027; 0.008789; 0.307129; 0.654297
1.728027; 0.005127; 0.486572; 1.224365
5.703857; 0.010010; 1.149170; 4.528809
10.903809; 0.010010; 1.866211; 9.008789
37.791992; 0.016113; 4.402344; 33.344482
71.216064; 0.029053; 6.789307; 64.367188
75.731934; 0.031006; 7.107666; 68.564941
121.725098; 0.037109; 9.719482; 111.931396
281.572998; 0.047363; 17.181396; 264.295898
579.566895; 0.053955; 28.107178; 551.347412
920.395020; 0.062744; 38.603271; 881.653564
5645.336914; 0.118164; 107.922119; 5537.132324
6325.765625; 0.114258; 113.588379; 6211.890625
103843.640869; 0.231934; 431.998291; 103411.109131
112455.080078; 0.231689; 453.011963; 112001.519287
401764.519043; 0.322998; 972.084717; 400791.689941
1094424.554199; 0.453125; 1815.089600; 1092608.437744
