Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.225098; 0.001953; 0.014893; 0.200928
1.743896; 0.009766; 0.149414; 1.555420
5.270996; 0.013916; 0.447021; 4.740479
11.038086; 0.025879; 0.915283; 9.965576
24.633789; 0.037354; 2.053711; 22.284912
47.198975; 0.055420; 3.878418; 42.796387
106.846924; 0.085205; 8.229004; 97.331543
202.411133; 0.116211; 14.990967; 184.996826
302.604980; 0.147217; 22.055420; 277.048828
443.942139; 0.183350; 31.744873; 407.034424
701.994385; 0.229492; 48.871826; 645.115723
1134.590576; 0.288574; 76.886719; 1044.956055
1735.790039; 0.355713; 115.478516; 1599.728027
3530.076416; 0.472412; 223.824951; 3233.065674
5423.480713; 0.597412; 336.562256; 4957.256836
12779.194336; 0.822998; 768.233154; 11600.937012
20542.331543; 1.052979; 1216.480713; 18622.099365
37194.608154; 1.390869; 2184.062012; 33656.816162
68447.985840; 1.851562; 4000.932861; 61870.771729
