Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.045898; 0.003174; 0.015137; 0.020752
0.461914; 0.008301; 0.145996; 0.278809
1.525879; 0.016113; 0.449463; 0.990234
3.384766; 0.023926; 0.947266; 2.278809
9.220947; 0.032959; 2.095703; 6.812988
20.429932; 0.051514; 3.896240; 15.969482
58.889160; 0.075684; 8.288086; 49.299316
131.260254; 0.102539; 15.084961; 113.708740
211.844727; 0.133057; 22.149902; 186.134033
334.651855; 0.164062; 31.826660; 297.633789
617.622559; 0.205078; 48.977295; 560.586426
1201.128906; 0.260498; 77.129150; 1111.154297
2107.083984; 0.328125; 115.839844; 1970.329102
7775.636719; 0.446045; 224.245361; 7475.414307
14275.030518; 0.564209; 337.166016; 13802.892334
115757.749268; 0.793945; 768.889160; 114577.123291
232576.403076; 1.024170; 1217.093018; 230652.198975
641139.042480; 1.367920; 2185.593994; 637594.622803
1797791.171875; 1.828369; 4005.386719; 1791160.193848
