METODO; GRAD; HESS; SISTLIN
3.3782; 0; 0; 476.7053
44.0135; 0; 0; 1053.1674
105.9093; 0; 0; 1118.4497
166.2366; 0; 0; 1174.1625
351.9432; 0; 0; 1209.3371
472.3061; 0; 0; 1192.8311
682.7271; 0; 0; 1124.7932
762.2410; 0; 0; 1087.7513
770.3104; 0; 0; 1083.3052
808.1648; 0; 0; 1060.1291
859.2098; 0; 0; 1032.8889
876.8161; 0; 0; 1008.2015
880.8864; 0; 0; 999.0742
851.4577; 0; 0; 946.7767
852.6803; 0; 0; 947.5892
848.2686; 0; 0; 936.8929
849.4812; 0; 0; 937.2692
846.8477; 0; 0; 933.3240
842.3169; 0; 0; 928.1339
