METODO; GRAD; HESS; SISTLIN
2.1023; 674.1167; 189.4759; 1322.8615
40.0687; 1716.6641; 92.6774; 4552.1190
141.0489; 2241.6860; 65.4279; 6104.1940
285.5911; 2499.4684; 52.8965; 7044.7088
947.3182; 3133.8405; 34.3163; 7745.1840
1833.9897; 3327.2514; 28.2618; 8066.3946
4056.5078; 3668.4225; 16.0620; 8708.9704
5163.2674; 3928.8519; 14.6306; 8204.6947
5255.4546; 3949.6505; 14.4328; 8147.2033
5977.7030; 4098.6554; 12.1463; 8184.3780
6893.4213; 4327.1371; 9.2346; 8168.7648
7327.8868; 4458.0447; 7.2445; 8143.2104
7675.3177; 4377.9077; 6.2056; 8327.7573
5355.9754; 4338.0921; 3.6715; 5520.7377
5503.3770; 4420.4330; 3.5859; 5674.5683
2519.9853; 4650.3313; 1.8400; 2536.8873
2483.0520; 4658.2259; 1.8092; 2498.6770
2206.6558; 4758.0112; 1.2352; 2215.0164
2005.1963; 4831.5042; 0.9002; 2010.2504
