METODO; GRAD; HESS; SISTLIN
0.2511; 0.2459; 0.2446; 0.2513
0.2568; 0.2674; 0.2474; 0.2575
0.2243; 0.2754; 0.2440; 0.1399
0.1425; 0.2797; 0.2659; 0.0479
0.0782; 0.2812; 0.2562; 0.0226
0.0833; 0.2951; 0.2609; 0.0256
0.2896; 0.2884; 0.2868; 0.2885
0.3696; 0.2753; 0.2743; 0.3804
0.3800; 0.2739; 0.2725; 0.3930
0.3816; 0.2675; 0.2695; 0.3943
0.3813; 0.2599; 0.2619; 0.3948
0.3824; 0.2545; 0.2759; 0.3964
0.3764; 0.2488; 0.2661; 0.3898
0.3453; 0.2468; 0.2803; 0.3561
0.3360; 0.2479; 0.2802; 0.3450
0.3039; 0.2513; 0.2659; 0.3079
0.2967; 0.2511; 0.2768; 0.2999
0.2504; 0.2513; 0.2803; 0.2488
0.2515; 0.2516; 0.2910; 0.2499
