METODO; GRAD; HESS; SISTLIN
0.045898; 0.002930; 0.013672; 0.022217
0.428955; 0.005127; 0.161133; 0.243652
1.154053; 0.009033; 0.387939; 0.714111
1.864990; 0.007812; 0.585938; 1.204346
6.109131; 0.005859; 1.387695; 4.564941
11.784912; 0.014893; 2.269287; 9.250000
39.248047; 0.022949; 5.416016; 33.064941
74.317383; 0.022705; 8.394287; 64.739258
81.718506; 0.026611; 8.790527; 71.837402
124.661865; 0.026611; 12.034180; 111.010254
286.585205; 0.043945; 21.326172; 262.392578
595.304932; 0.056885; 34.904297; 555.515869
915.245850; 0.071289; 47.962646; 859.404297
6239.277588; 0.124023; 134.369629; 6049.061523
6867.760010; 0.122070; 140.249023; 6666.740967
107256.810059; 0.228271; 535.781250; 106431.601807
123078.277100; 0.234863; 557.452393; 122211.669434
416531.815430; 0.342773; 1200.539551; 414667.306641
1129846.432617; 0.460449; 2252.506836; 1126354.226074
