Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.667969; 0.005859; 0.042969; 0.589844
4.929199; 0.028564; 0.475098; 4.291260
13.894287; 0.049805; 1.429199; 12.154785
23.811035; 0.069336; 2.602051; 20.727783
45.914062; 0.104736; 5.404297; 39.639893
81.942139; 0.143555; 9.972900; 70.494385
171.485596; 0.201904; 20.997070; 146.857178
313.938477; 0.269043; 38.223389; 268.827637
460.702393; 0.346680; 56.256836; 394.405762
663.141602; 0.447266; 80.939941; 567.621338
1023.565918; 0.559082; 124.729980; 876.392822
1623.179199; 0.701904; 196.382812; 1391.597412
2400.556396; 0.856445; 287.985107; 2060.935303
4714.098633; 1.118652; 536.659668; 4052.515869
7170.339111; 1.388184; 800.036621; 6160.928223
17195.414551; 1.969238; 1800.735352; 14768.907959
27728.023438; 2.557617; 2845.541016; 23820.553955
49981.248291; 3.382324; 5107.984863; 42893.099365
92008.549072; 4.469238; 9402.098633; 78922.504883
