Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.112061; 0.006348; 0.035156; 0.060791
1.170166; 0.017090; 0.314453; 0.782471
4.255371; 0.033203; 0.996582; 3.080078
9.785156; 0.054443; 2.144775; 7.292236
27.613281; 0.081055; 4.939941; 21.936279
62.413574; 0.119629; 9.481934; 51.574463
193.320557; 0.178467; 20.491211; 169.344238
455.227051; 0.251221; 38.078125; 410.414551
743.622314; 0.328857; 56.076172; 677.634033
1191.500732; 0.414551; 80.786865; 1096.278564
2237.349365; 0.534912; 124.611816; 2090.383545
4297.514404; 0.671631; 191.220459; 4071.717041
7462.888916; 0.826416; 283.201172; 7128.682861
21985.346680; 1.088135; 535.681152; 21322.446533
37703.325928; 1.348633; 795.257324; 36698.924561
203836.114990; 1.882080; 1793.382080; 201419.294678
391735.779541; 2.442383; 2831.232422; 387847.226318
1028499.048340; 3.327881; 5187.571777; 1021284.947998
2643274.899170; 4.412842; 9460.294922; 2630012.344727
