1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 3.00258509299405e+00	| 3.00258509299405e+00	| 3.00258509299405e+00	| 
1            	| 2.95022082852655e+00	| 2.95022082852655e+00	| 2.95022082852655e+00	| 
2            	| 2.94594313228550e+00	| 2.94594313228550e+00	| 2.94594313228550e+00	| 
3            	| 2.94591015120774e+00	| 2.94591015120774e+00	| 2.94591015120774e+00	| 
4            	| 2.94591014905531e+00	| 2.94591014905531e+00	| 2.94591014905531e+00	| 
Tempo total 	| 5.29785156250000e-02	| 7.81250000000000e-03	| 3.90625000000000e-03  |
Tempo derivadas | 4.39453125000000e-02	| 2.92968750000000e-03	| 9.76562500000000e-04  |
Tempo SL 	| 2.92968750000000e-03	| 2.92968750000000e-03	| 1.95312500000000e-03  |
#

1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 4.67517018598809e+00	| 4.67517018598809e+00	| 4.67517018598809e+00	| 
1            	| 4.08275018307130e+00	| 4.08275018307130e+00	| 4.08275018307130e+00	| 
2            	| 3.57639074071603e+00	| 3.57639074071603e+00	| 3.57639074071603e+00	| 
3            	| 3.20635891025572e+00	| 3.20635891025572e+00	| 3.20635891025572e+00	| 
4            	| 3.00839120361623e+00	| 3.00839120361623e+00	| 3.00839120361623e+00	| 
5            	| 2.95105650769247e+00	| 2.95105650769247e+00	| 2.95105650769247e+00	| 
6            	| 2.94595666289606e+00	| 2.94595666289606e+00	| 2.94595666289606e+00	| 
7            	| 2.94591015332732e+00	| 2.94591015332732e+00	| 2.94591015332732e+00	| 
8            	| 2.94591014905531e+00	| 2.94591014905531e+00	| 2.94591014905531e+00	| 
Tempo total 	| 6.71386718750000e-02	| 1.97753906250000e-02	| 1.09863281250000e-02  |
Tempo derivadas | 5.29785156250000e-02	| 4.15039062500000e-03	| 2.92968750000000e-03  |
Tempo SL 	| 2.92968750000000e-03	| 7.81250000000000e-03	| 2.92968750000000e-03  |
#

2
-log(1-x1-x2)-log(x1)-log(x2)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 5.46083629604581e+00	| 5.46083629604581e+00	| 5.46083629604581e+00	| 
1            	| 4.34975014622771e+00	| 4.34975014622771e+00	| 4.34975066987787e+00	| 
2            	| 3.57150332245764e+00	| 4.04265278641358e+00	| 3.57150388574599e+00	| 
3            	| 3.32290880078183e+00	| 3.43497030234239e+00	| 3.32290884343149e+00	| 
4            	| 3.29620081495115e+00	| 3.35834770199045e+00	| 3.29620082094765e+00	| 
5            	| 3.29583691254300e+00	| 3.29814407750556e+00	| 3.29583691255267e+00	| 
6            	| 3.29583686600433e+00	| 3.29607062671374e+00	| 3.29583686600449e+00	| 
7            	| 			| 3.29583688528692e+00	| 3.29583686600434e+00	| 
8            	| 			| 3.29583686601051e+00	| 			| 
9            	| 			| 3.29583686600433e+00	| 			| 
Tempo total 	| 9.81445312500000e-02	| 4.68750000000000e-02	| 3.58886718750000e-02  |
Tempo derivadas | 7.59277343750000e-02	| 2.85644531250000e-02	| 2.19726562500000e-02  |
Tempo SL 	| 5.12695312500000e-03	| 1.36718750000000e-02	| 5.85937500000000e-03  |
#

1
9*x1-4*log(x1-7)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 8.15106807439524e+01	| 8.15106807439524e+01	| 8.15106807439524e+01	| 
1            	| 7.88713220613138e+01	| 7.88713220613138e+01	| 7.88713220613138e+01	| 
2            	| 7.63587818408702e+01	| 7.63587818408702e+01	| 7.63587818408702e+01	| 
3            	| 7.40818571929966e+01	| 7.40818571929966e+01	| 7.40818571929966e+01	| 
4            	| 7.22117958517748e+01	| 7.22117958517748e+01	| 7.22117958517748e+01	| 
5            	| 7.09496957749186e+01	| 7.09496957749186e+01	| 7.09496957749186e+01	| 
6            	| 7.03728711432698e+01	| 7.03728711432698e+01	| 7.03728711432698e+01	| 
7            	| 7.02498446052009e+01	| 7.02498446052009e+01	| 7.02498446052009e+01	| 
8            	| 7.02437383098071e+01	| 7.02437383098071e+01	| 7.02437383098071e+01	| 
9            	| 7.02437208650169e+01	| 7.02437208650169e+01	| 7.02437208650169e+01	| 
10           	| 7.02437208648653e+01	| 7.02437208648653e+01	| 7.02437208648653e+01	| 
Tempo total 	| 1.11083984375000e-01	| 6.20117187500000e-02	| 4.68750000000000e-02  |
Tempo derivadas | 8.30078125000000e-02	| 3.05175781250000e-02	| 2.88085937500000e-02  |
Tempo SL 	| 6.10351562500000e-03	| 1.56250000000000e-02	| 5.85937500000000e-03  |
#

1
9*x1-4*log(x1-7)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 7.02725887222398e+01	| 7.02725887222398e+01	| 7.02725887222398e+01	| 
1            	| 7.02442142927379e+01	| 7.02442142927379e+01	| 7.02442142927379e+01	| 
2            	| 7.02437209840940e+01	| 7.02437209840940e+01	| 7.02437209840940e+01	| 
3            	| 7.02437208648653e+01	| 7.02437208648653e+01	| 7.02437208648653e+01	| 
Tempo total 	| 1.14990234375000e-01	| 6.81152343750000e-02	| 5.10253906250000e-02  |
Tempo derivadas | 8.39843750000000e-02	| 3.14941406250000e-02	| 2.88085937500000e-02  |
Tempo SL 	| 6.10351562500000e-03	| 1.75781250000000e-02	| 8.05664062500000e-03  |
#

1
6*x1-4*log(x1-2)-3*log(25-x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| 8.72687263992505e+00	| 8.72687263992505e+00	| 8.72687263992505e+00	| 
1            	| 8.50340550181464e+00	| 8.50340550181464e+00	| 8.50340550181464e+00	| 
2            	| 8.31643341872772e+00	| 8.31643341872772e+00	| 8.31643341872772e+00	| 
3            	| 8.30271776155124e+00	| 8.30271776155124e+00	| 8.30271776155124e+00	| 
4            	| 8.30263234880710e+00	| 8.30263234880710e+00	| 8.30263234880710e+00	| 
5            	| 8.30263234519765e+00	| 8.30263234519765e+00	| 8.30263234519765e+00	| 
Tempo total 	| 1.26953125000000e-01	| 7.98339843750000e-02	| 6.00585937500000e-02  |
Tempo derivadas | 9.49707031250000e-02	| 3.63769531250000e-02	| 3.58886718750000e-02  |
Tempo SL 	| 7.08007812500000e-03	| 1.95312500000000e-02	| 8.05664062500000e-03  |
#

2
-9*x1-10*x2+100*(-log(100-x1-x2)-log(x1)-log(x2)-log(50-x1+x2))
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| -2.18752003151564e+03	| -2.18752003151564e+03	| -2.18752003151564e+03	| 
1            	| -2.25768096813283e+03	| -2.25768096813283e+03	| -2.25661151223513e+03	| 
2            	| -2.29066087005638e+03	| -2.27317786533651e+03	| -2.29024537270621e+03	| 
3            	| -2.29789698124135e+03	| -2.29489288161370e+03	| -2.29788918843970e+03	| 
4            	| -2.29840179880820e+03	| -2.29714351882200e+03	| -2.29840188411917e+03	| 
5            	| -2.29840598668702e+03	| -2.29838288178441e+03	| -2.29840598670085e+03	| 
6            	| -2.29840598701713e+03	| -2.29840452589029e+03	| -2.29840598701713e+03	| 
7            	| 			| -2.29840598697678e+03	| -2.29840598701713e+03	| 
8            	| 			| -2.29840598701713e+03	| -2.29840598701713e+03	| 
9            	| 			| -2.29840598701713e+03	| -2.29840598701713e+03	| 
10           	| 			| 			| -2.29840598701713e+03	| 
11           	| 			| 			| -2.29840598701713e+03	| 
12           	| 			| 			| -2.29840598701713e+03	| 
13           	| 			| 			| -2.29840598701713e+03	| 
14           	| 			| 			| -2.29840598701713e+03	| 
15           	| 			| 			| -2.29840598701713e+03	| 
16           	| 			| 			| -2.29840598701713e+03	| 
17           	| 			| 			| -2.29840598701713e+03	| 
18           	| 			| 			| -2.29840598701713e+03	| 
19           	| 			| 			| -2.29840598701713e+03	| 
Tempo total 	| 1.97998046875000e-01	| 1.64794921875000e-01	| 2.69042968750000e-01  |
Tempo derivadas | 1.59179687500000e-01	| 1.06201171875000e-01	| 2.01416015625000e-01  |
Tempo SL 	| 8.05664062500000e-03	| 2.63671875000000e-02	| 3.41796875000000e-02  |
#

2
sin(x1+x2)+(x1-x2)^2-1.5*x1+2.5*x2+1
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| -9.09297426825682e-01	| -9.09297426825682e-01	| -9.09297426825682e-01	| 
1            	| -1.91322090085391e+00	| -1.91322090085391e+00	| -1.91322090077301e+00	| 
2            	| -1.91322295498023e+00	| -1.91322295044712e+00	| -1.91322295498016e+00	| 
3            	| -1.91322295498104e+00	| -1.91322295498104e+00	| -1.91322295498094e+00	| 
4            	| 			| 			| -1.91322295498103e+00	| 
Tempo total 	| 2.31933593750000e-01	| 1.74804687500000e-01	| 2.82226562500000e-01  |
Tempo derivadas | 1.89208984375000e-01	| 1.10107421875000e-01	| 2.10693359375000e-01  |
Tempo SL 	| 8.05664062500000e-03	| 2.92968750000000e-02	| 3.51562500000000e-02  |
#

2
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| -7.80000000000000e+01	| -7.80000000000000e+01	| -7.80000000000000e+01	| 
1            	| -7.83316728201422e+01	| -7.83316728201422e+01	| -7.83316728201422e+01	| 
2            	| -7.83323314043909e+01	| -7.83323263235824e+01	| -7.83323314043909e+01	| 
3            	| -7.83323314075428e+01	| -7.83323314075426e+01	| -7.83323314075428e+01	| 
Tempo total 	| 2.88085937500000e-01	| 2.10693359375000e-01	| 3.34228515625000e-01  |
Tempo derivadas | 2.41210937500000e-01	| 1.52099609375000e-01	| 2.59765625000000e-01  |
Tempo SL 	| 8.05664062500000e-03	| 3.32031250000000e-02	| 3.51562500000000e-02  |
#

4
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0            	| -1.56000000000000e+02	| -1.56000000000000e+02	| -1.56000000000000e+02	| 
1            	| -1.56663345640284e+02	| -1.56663345640284e+02	| -1.56663345640284e+02	| 
