Aplicacao_metodo_Newton; Calculo_Gradiente; Calculo_Hessiana; Resolucao_Sistema_Linear
0.296143; 0.003906; 0.017334; 0.260986
2.047119; 0.010010; 0.223145; 1.772949
6.363281; 0.024170; 0.750732; 5.471191
15.908203; 0.047119; 1.932373; 13.695801
31.756348; 0.066162; 3.925537; 27.252930
59.599365; 0.095947; 7.420654; 51.129150
132.704346; 0.160645; 18.114502; 111.709229
240.736328; 0.217529; 31.397217; 203.791016
348.104492; 0.267578; 43.588379; 296.862793
511.838623; 0.392822; 66.538818; 432.362793
782.391602; 0.492432; 99.901611; 662.625977
1236.506348; 0.609131; 154.122803; 1050.834473
1837.882080; 0.735840; 222.898682; 1568.706055
3577.945068; 0.966064; 446.338135; 3035.023438
5533.559814; 1.204590; 671.457275; 4713.260986
12847.779053; 1.746826; 1485.783203; 10915.736084
20687.049072; 2.401123; 2398.617676; 17541.107422
37448.091309; 3.195801; 4316.303223; 31734.564697
68895.731934; 4.218506; 7988.183838; 58298.809326
